city|6
prague|4
date|15
2023|11
09|8
18|1
22|1
21|1
44|1
098266|1
news|12
it|2
is|3
raining|1
now|1
20|7
11|5
28|2
00|7
614333|1
something|1
has|1
happened|1
minsk|1
32|2
43|1
413849|1
testing|1
in|1
process|1
be|1
patient|1
please|1
advertisement|4
text|8
move|1
out|1
sale|2
only|1
one|2
day|5
save|1
to|6
your|2
calendar|1
october|1
23|2
tower|1
6th|1
floor|1
expiration|4
10|3
days|4
left|4
tip|4
of|5
the|5
33|1
19|1
061036|1
try|1
not|2
do|2
mistakes|2
rating|4
0|1
copenhagen|1
34|1
51|1
951357|1
last|1
time|3
i|1
promise|1
big|1
party|2
for|2
everyone|2
register|1
epan|1
new|2
year|1
2024|4
01|4
102|1
35|1
54|1
647093|1
waste|1
1|1
more|1
test|1
no|3
promises|1
this|1
brains|1
almost|1
used|1
03|1
12|1
173|1
trust|1
nobody|1
event|1
yourself|1
100500|1
orleans|1
fake|1
if|1
you|5
like|1
what|1
are|2
reading|1
subscribe|2
our|1
top|1
stories|1
send|1
'i|1
am|1
in'|1
boredpanda@pands|1
com|1
63|1
29|1
matter|1
how|2
slow|1
progress|1
or|1
many|1
make|1
still|1
way|1
ahead|1
who|1
isn't|1
trying|1
3|1
5|1
